Item,List,Lexical_Aspect,Grammatical_Aspect,NP1,V,ASP,NP2,Sentence
1,1,ACT,le,小男孩 ,游 ,了 ,泳,小男孩 游 了 泳。
2,1,ACT,le,小女孩 ,弹 ,了 ,琴,小女孩 弹 了 琴。
3,1,ACT,le,老先生 ,滑 ,了 ,雪,老先生 滑 了 雪。
4,1,ACT,le,老太太 ,钓 ,了 ,鱼,老太太 钓 了 鱼。
5,1,ACT,le,小男孩 ,跳 ,了 ,舞,小男孩 跳 了 舞。
6,1,ACT,le,小女孩 ,溜 ,了 ,冰,小女孩 溜 了 冰。
7,1,ACT,le,老先生 ,唱 ,了 ,歌,老先生 唱 了 歌。
8,1,ACT,le,老太太 ,上 ,了 ,课,老太太 上 了 课。
9,1,ACT,le,小男孩 ,洗 ,了 ,衣服,小男孩 洗 了 衣服。
10,1,ACT,le,小女孩 ,玩 ,了 ,游戏,小女孩 玩 了 游戏。
11,1,ACT,le,老先生 ,听 ,了 ,音乐,老先生 听 了 音乐。
12,1,ACT,le,老太太 ,看 ,了 ,电视,老太太 看 了 电视。
13,1,ACT,le,小男孩 ,喝 ,了 ,牛奶,小男孩 喝 了 牛奶。
14,1,ACT,le,小女孩 ,打 ,了 ,电话,小女孩 打 了 电话。
15,1,ACT,le,老先生 ,推 ,了 ,箱子,老先生 推 了 箱子。
16,1,ACT,le,老太太 ,讲 ,了 ,故事,老太太 讲 了 故事。
1,2,ACT,zhe,小男孩 ,游 ,着 ,泳,小男孩 游 着 泳。
2,2,ACT,zhe,小女孩 ,弹 ,着 ,琴,小女孩 弹 着 琴。
3,2,ACT,zhe,老先生 ,滑 ,着 ,雪,老先生 滑 着 雪。
4,2,ACT,zhe,老太太 ,钓 ,着 ,鱼,老太太 钓 着 鱼。
5,2,ACT,zhe,小男孩 ,跳 ,着 ,舞,小男孩 跳 着 舞。
6,2,ACT,zhe,小女孩 ,溜 ,着 ,冰,小女孩 溜 着 冰。
7,2,ACT,zhe,老先生 ,唱 ,着 ,歌,老先生 唱 着 歌。
8,2,ACT,zhe,老太太 ,上 ,着 ,课,老太太 上 着 课。
9,2,ACT,zhe,小男孩 ,洗 ,着 ,衣服,小男孩 洗 着 衣服。
10,2,ACT,zhe,小女孩 ,玩 ,着 ,游戏,小女孩 玩 着 游戏。
11,2,ACT,zhe,老先生 ,听 ,着 ,音乐,老先生 听 着 音乐。
12,2,ACT,zhe,老太太 ,看 ,着 ,电视,老太太 看 着 电视。
13,2,ACT,zhe,小男孩 ,喝 ,着 ,牛奶,小男孩 喝 着 牛奶。
14,2,ACT,zhe,小女孩 ,打 ,着 ,电话,小女孩 打 着 电话。
15,2,ACT,zhe,老先生 ,推 ,着 ,箱子,老先生 推 着 箱子。
16,2,ACT,zhe,老太太 ,讲 ,着 ,故事,老太太 讲 着 故事。
