Item,List,Lexical_Aspect,Grammatical_Aspect,Condition,NP1,V,ASP,NP2,Sentence
,,ACT,le,,小黄 ,游泳 ,了 ,没有。,"{s: ""小黄 游泳 了 没有。""}"
,,ACT,le,,小黄 ,弹琴,了 ,没有。,"{s: ""小黄 弹琴了 没有。""}"
,,ACT,le,,小黄 ,滑雪,了 ,没有。,"{s: ""小黄 滑雪了 没有。""}"
,,ACT,le,,小黄 ,钓鱼,了 ,没有。,"{s: ""小黄 钓鱼了 没有。""}"
,,ACT,le,,小黄 ,跳舞,了 ,没有。,"{s: ""小黄 跳舞了 没有。""}"
,,ACT,le,,小黄 ,溜冰,了 ,没有。,"{s: ""小黄 溜冰了 没有。""}"
,,ACT,le,,小黄 ,唱歌,了 ,没有。,"{s: ""小黄 唱歌了 没有。""}"
,,ACT,le,,小黄 ,上课,了 ,没有。,"{s: ""小黄 上课了 没有。""}"
,,ACT,le,,小黄 ,洗衣服,了 ,没有。,"{s: ""小黄 洗衣服了 没有。""}"
,,ACT,le,,小黄 ,玩游戏,了 ,没有。,"{s: ""小黄 玩游戏了 没有。""}"
,,ACT,le,,小黄 ,听音乐,了 ,没有。,"{s: ""小黄 听音乐了 没有。""}"
,,ACT,le,,小黄 ,看电视,了 ,没有。,"{s: ""小黄 看电视了 没有。""}"
,,ACT,le,,小黄 ,喝牛奶,了 ,没有。,"{s: ""小黄 喝牛奶了 没有。""}"
,,ACT,le,,小黄 ,打电话,了 ,没有。,"{s: ""小黄 打电话了 没有。""}"
,,ACT,le,,小黄 ,？推箱子,了 ,没有。,"{s: ""小黄 ？推箱子了 没有。""}"
,,ACT,le,,小黄 ,？讲故事,了 ,没有。,"{s: ""小黄 ？讲故事了 没有。""}"
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACT,zhe,,,,,,
,,ACC,le,,,吃一粒糖,,,
,,ACC,le,,,写一封信,,,
,,ACC,le,,,？喝一杯水,,,
,,ACC,le,,,？倒一杯酒,,,
,,ACC,le,,,过一座桥,,,
,,ACC,le,,,买一朵花,,,
,,ACC,le,,,画一幅画,,,
,,ACC,le,,,？生一堆火,,,
,,ACC,le,,,织一件毛衣,,,
,,ACC,le,,,擦一块黑板,,,
,,ACC,le,,,烤一个蛋糕,,,
,,ACC,le,,,包一份礼物,,,
,,ACC,le,,,漆一扇铁门,,,
,,ACC,le,,,开一个罐头,,,
,,ACC,le,,,？叠一件衣服,,,
,,ACC,le,,,？拆一栋房子,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,ACC,zhe,,,,,,
,,SEM,le,,,鼓掌,,,
,,SEM,le,,,咳嗽,,,
,,SEM,le,,,击鼓,,,
,,SEM,le,,,叹气,,,
,,SEM,le,,,耸肩,,,
,,SEM,le,,,打人,,,
,,SEM,le,,,抖手,,,
,,SEM,le,,,点头,,,
,,SEM,le,,,打哈欠,,,
,,SEM,le,,,？挥旗子,,,
,,SEM,le,,,踢大门,,,
,,SEM,le,,,拍大腿,,,
,,SEM,le,,,摇脑袋,,,
,,SEM,le,,,？喘粗气,,,
,,SEM,le,,,敲黑板,,,
,,SEM,le,,,眨眼睛,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
,,SEM,zhe,,,,,,
